"原阳县",430008.840428348,215453,230822,233016,236963,302183,325310,411655,519829,641264,659925,763353,915831,928978,963890,1090833
"延津县",105152.433522732,150072,168547,187496,215334,288037,358197,380562,462147,563225,624216,747811,929987,921036,1017225,1140937
"封丘县",84100.7783580842,190405,206873,228815,236458,301036,341473,390958,465584,583369,599125,700712,833857,953670,1016592,1100947
"长垣县",687534.988604133,267900,299000,329600,371400,480600,599200,720800,871500,1092800,1190800,1420900,1742300,1938100,2266400,2503300
"卫辉市",226403,218481,227778,246457,264966,317823,369578,426433,537991,663980,671932,802202,935645,1036441,1064233,1140391
"辉县市",397825,434038,481614,533139,593500,754242,848383,977602,1183378,1515745,1668585,2072674,2561278,2765802,2895949,3039179
"修武县",24028,155579,166671,185666,257354,369617,502536,669350,715791,768011,784857,882187,984665,935764,1000798,1113285
"博爱县",336378.28473923,296217,327850,360509,430435,606708,829843,976485,1204855,1430378,1481385,1595044,1839281,1813353,1997972,2168997
"武陟县",100177.876361372,284242,314189,348994,403174,572873,811109,1016021,1282718,1558551,1577663,1921904,2223361,2164999,2499244,2772508
"温县",391718.885559652,257563,284028,313071,371320,501094,691722,832833,1033925,1240347,1297542,1477584,1736220,1901021,2107155,2294981
"沁阳市",362664,398982,455030,539884,641310,801210,1003853,1233622,1551784,1926513,1950810,2339567,2721044,3005767,3299309,3387044
"孟州市",210340,241098,271391,315686,377825,515267,711532,867548,1133202,1370264,1447452,1733421,2076348,2281915,2458415,2586437
"清丰县",550129.027711815,260959,256236,284069,302393,371878,435413,501515,611018,792593,912549,1082630,1253986,1400229,1639980.48,1889296
"南乐县",24028,177637,191867,208146,219251,281722,369052,436343,535047,688507,738994,880674,1005441,1079613,1241667.11,1439925
"范县",526165.124249014,158292,169121,186981,203332,263368,307020,358212,453763,585022,682664,809782,948309,1034859,1303240.58,1532277
"台前县",322908.499007515,104487,116345,128886,142042,175890,233673,268143,317771,399489,458407,535572,629995,679200,724352.35,837196
"濮阳县",44830.5801158592,311770,361020,399456,403838,531582,722941,866913,1114404,1443169,1650098,1923958,2100894,2356883,2799020.34,3161076
"许昌县",24028,451255,503977,559558,629795,777529,941398,1078416,1256997,1483443,1484220,1692930,1945061,2106429,2370449,3489922
"鄢陵县",485969.533481351,337219,371891,415339,464351,618242,803383,949210,1114308,1356320,1401027,1549979,1875495,2050896,2262093,2461422
"襄城县",299743.252731284,288401,319385,350039,398420,577716,834832,981584,1236735,1639846,1658282,1986567,2446406,2558166,2802262,2921766
"禹州市",670651,752381,833116,923804,1061854,1315741,1454334,1747128,2127663,2652939,2923028,3314492,3848572,4034510,4522527,4877155
"长葛市",598758,680857,757835,835084,940009,1118017,1241192,1563465,1869060,2222593,2207533,2598412,3257660,3703704,4108512,4656502
"郾城区",380089.680880142,237603.591123031,486897.011891746,272184.26355613,33040,538614.425462287,771186.112853794,1178380.31574604,1108464.21196448,874731.587072428,1192700,1359600,1556300,1551200,1607400,1757600
"舞阳县",509107.13567824,216374,241064,257294,270012,340066,391798,486065,553911,754117,755475,881453,1047371,1091732,1182778,1480987
"临颍县",704419.910029477,439468,477850,523767,565144,714541,860664,1027910,1090840,1518245,1721124,1936432,1994153,2159305,2351774,2316332
"渑池县",311364.540032807,249923,272803,325672,368686,457517,625287,753883,987593,1323759,1354816,1534068,1748033,1893132,2107736,2236015
"陕县",214041.935825136,225358,243228,267231,300352,355966,406416,479916,584235,885103,918379,1046725,1186351,1301579,1413691,1506912
"卢氏县",640259.549628189,112608,97164,106026,120222,150833,169649,198048,238184,311692,354682,437781,528029,611147,685294,736118
"义马市",108450,110524,134623,145078,196180,272968,407562,497322,628365,896027,1000533,1260007,1556284,1617646,1617805,1548437
"灵宝市",608963,665871,719791,786750,876913,1059429,1254282,1574734,1881697,2330556,2422040,3321321,3981090,4412404,4686371,4713606
"南召县",141947.078557716,284098,325254,332471,383995,491671,572012,647434,702292,708399,780722,936943,1072003,1132996,1052410.89,1129779
"方城县",85141.532505253,293323,324392,356638,418416,533764,610619,688362,733503,902540,956548,1091520,1184957,1318130,1456097.35,1594305
"西峡县",219800.728592812,231843,259068,288329,341667,420804,553751,682165,879722,1099410,1290183,1508280,1714872,1751289,1903810.43,2066174
"镇平县",858664.234400235,627907,696276,758410,843353,1029074,1272908,1402993,1521841,1612137,1368003,1506733,1654605,1786956,1825618.85,1972675
"内乡县",154926.575255919,280483,318780,358499,399880,496083,578220,644851,745424,893848,922540,1014390,1105762,1183876,1246757.76,1353921
"淅川县",422412.961267547,282701,313364,344860,390365,501678,620030,709683,873847,1034470,1107974,1264053,1454124,1557629,1699667.23,1805988
"社旗县",80609.3695090599,186235,202444,220167,240830,319649,384364,456453,541493,716123,771741,873557,956592,1024253,1136878.43,1272717
"唐河县",81607.2534228491,478910,514747,557137,626209,820658,946817,1165830,1349352,1575629,1669508,1840480,1997314,2110717,2275398.3,2439637
